Chương,Trang PDF,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích đáp án
Chương 1,63,Tìm một điểm nhầm lẫn trong đoạn viết sau: Một trong những nguồn gốc của tư tưởng Hồ Chí Minh là tiếp thu văn hóa phương Đông. Cụ thể là: a)Những mặt tích cực của Nho giáo b)Kế thừa tư tưởng pháp trị hà khắc của Pháp gia c)Tư tưởng vị tha của Phật giáo d)Kế thừa những tư tưởng tích cực trong chủ nghĩa Tam dân của Tôn Trung Sơn.,,,,,,
Chương 1,64,"Nguyên nhân quan trọng nhất dẫn đến sự thất bại của các phong trào yêu nước Việt Nam cuối thế kỷ XIX đầu thế kỷ XX là gì? a)Diễn ra rời rạc, tự phát b)Thiếu đường lối cứu nước đúng đắn c)Thua kém về vũ khí và sức mạnh quân sự d)Chưa phát huy được sức mạnh đoàn kết toàn dân",,,,,,
Chương 1,64,"Khi tham gia phong trào chống thuế ở Trung Kỳ, Nguyễn Tất Thành đang là: a)Học sinh b)Thầy giáo c)Công nhân d)Thợ ảnh",,,,,,
Chương 1,64,“ Đất nước đẹp vô cùng nhưng Bác phải ra đi/ Cho tôi làm sóng dưới chân tàu đưa tiễn Bác” là câu thơ của tác giả nào? a)Tố Hữu b)Chế Lan Viên c)Cù Huy Cận d)Trường Chinh,,,,,,
Chương 1,64,“ Mong manh áo vải hồn muôn trượng/ Hơn tượng đồng phơi những lối mòn” là câu thơ của tác giả nào? a)Tố Hữu b)Chế Lan Viên c)Cù Huy Cận d)Trường Chinh,,,,,,
Chương 1,64,Tư tưởng Hồ Chí Minh được hình thành từ những nguồn gốc nào? a)Giá trị tư tưởng- văn hóa truyền thống của dân tộc Việt Nam b)Tinh hoa văn hóa nhân loại c)Chủ nghĩa Mác – Lênin và những phẩm chất của Hồ Chí Minh d)Tất cả các phương án trên,,,,,,
Chương 1,64,Tư tưởng Hồ Chí Minh về con đường cách mạng Việt Nam được hình thành cơ bản vào khoảng thời gian nào? a)Giai đoạn 1911-1920 b)Giai đoạn 1921-1930 c)Giai đoạn 1931-1945 d)Giai đoạn 1946- 1969,,,,,,
Chương 1,64,"Chọn phương án đúng trong các phương án sau: Hồ Chí Minh đã tiếp thu những yếu tố nào của Phật giáo? a)Tư tưởng về một thế giới đại đồng b)Tinh thần tự sám hối c)Tư tưởng lễ giáo, đề cao đạo đức d)Tư tưởng vị tha, từ bi, bác ái",,,,,,
Chương 1,65,"Chọn phương án trả lời đúng với tư tưởng Hồ Chí Minh a)Từ năm 1890 đến năm 1911: Thời kỳ nghiên cứu, khảo sát thực tế, đến với chủ nghĩa Mác- Lênin b)Từ năm 1911 đến năm 1920: Thời kỳ hình thành tư tưởng yêu nước, chí hướng cứu nước c)Từ năm 1921 đến năm 1930: Thời kỳ hình thành cơ bản tư tưởng về con đường cách mạng Việt Nam d)Từ năm 1930 đến năm 1945: Thời kỳ tìm kiếm và xác định con đường cứu nước, giải phóng dân tộc",,,,,,
Chương 1,65,"Chọn cụm từ đúng điền vào dấu “...” Tháng 7-1920, Hồ Chí Minh đọc “...” của V.L. Lênin? a)Chính sách kinh tế mới (NEP) b)Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa c)Tác phẩm Làm gì d)Tác phẩm Bút ký triết học",,,,,,
Chương 1,65,"Sau hành trình tìm đường cứu nước, Hồ Chí Minh về nước trực tiếp lãnh đạo phong trào cách mạng vào thời gian? a)Tháng 5 - 1930 b)Tháng 1 - 1941 c)Tháng 9 - 1943 d)Tháng 8 – 1945",,,,,,
Chương 1,65,Địa danh đầu tiên của Tổ quốc mà Hồ Chí Minh đặt chân lên khi về nước tại cột mốc 108 trên bia giới Việt –Trung thuộc địa phận nào tỉnh Cao Bằng? a)Hà Quảng b)Hòa An c)Nguyên Bình d)Quản Bạ,,,,,,
Chương 1,65,Hồ Chí Minh đến với chủ nghĩa Mác – Lênin và trở thành người cộng sản đầu tiên của Việt Nam vào thời gian nào? a)Năm 1919 b)Năm 1920 c)Năm 1925 d)Năm 1930,,,,,,
Chương 1,65,"Nguyễn Ái Quốc lấy tên là Hồ Chí Minh vào thời gian nào? a)Năm 1911, khi Người ra đi tìm đường cứu nước tại bến cảng Nhà Rồng b)Năm 1920, khi Người hoạt động tạo Pháp c)Năm 1941, khi Người về nước và hoạt động tại Pác Bó- Cao Bằng d)Năm 1942, khi Người có chuyến công tác sang Trung Quốc",,,,,,
Chương 1,65,"Trong những tiền đề lý luận hình thành tư tưởng Hồ Chí Minh, tiền đề nào quyết định bản chất khoa học và cách mạng của tư tưởng Hồ Chí Minh? a)Những giá trị truyền thống của dân tộc b)Những tinh hoa văn hóa của nhân loại c)Chủ nghĩa Mác – Lênin d)Cả ba tiền đề cùng có ý nghĩa quyết định",,,,,,
Chương 1,66,“ Luận cương Leenin theo Người về quê Việt/ Đất nước còn xa những hạnh phúc đã gần rồi”là câu thơ của tác giả nào? a)Tố Hữu b)Sóng Hồng c)Huy Cận d)Chế Lan Viên,,,,,,
Chương 1,66,"Theo sách “ Giáo trình Tư tưởng Hồ Chí Minh” (Nxb Chính trị quốc gia – Sự thật, Hà Nội, 2011), quá trình hình thành và phát triển tư tưởng Hồ Chí Minh được chia mấy thời kỳ? a)3 b)4 c)5 d)6",,,,,,
Chương 1,66,"Thời kỳ Hồ Chí Minh vượt qua thử thách, kiên trì giữ vững lập trường cách mạng diễn ra trong khoảng thời gian nào? a)Trước năm 1911 b)1911-1920 c)1921-1030 d)1930-1945",,,,,,
Chương 2,66,"Thời kỳ Hồ Chí Minh tìm thấy con đường cứu nước, giải phóng dân tộc diễn ra trong khoảng thời gian nào? a)1911-1920 b)1921-1930 c)1930- 1945 d)1945-1969",,,,,,
Chương 2,66,Chọn phương án trả lời đúng nhất với tư tưởng Hồ Chí Minh a)Cách mạng giải phóng dân tộc ở thuộc địa có khả năng giành thắng lợi trước cách mạng vô sản ở chính quốc b)Cách mạng giải phóng dân tộc giành thắng lợi đồng thời với thắng lợi của cách mạng vô sản ở chính quốc c)Thắng lợi của cách mạng vô sản ở thuộc địa phải phụ thuộc vào thắng lợi của cách mạng vô sản ở chính quốc d)Cách mạng giải phóng dân tộc ở thuộc địa cần trông chờ vào sự giúp đỡ của cách mạng vô sản ở chính quốc,,,,,,
Chương 2,66,Hãy chọn cụm từ đúng điền vào chỗ trống trong câu nói sau của Hồ Chí Minh “ Giờ quyết định cho vận mệnh dân tộc ta đã đến. Toàn quốc đồng bào hãy đứng dậy...giải phóng cho ta” a)Đoàn kết toàn dân mà tự b)Đem sức ta mà tự c)Dựa vào sự giúp đỡ của quốc tế mà d)Dựa vào sự lãnh đạo của Đảng mà,,,,,,
Chương 2,67,"Thực chất vấn đề dân tộc thuộc địa trong tư tưởng Hồ Chí Minh là gì? a)Đấu tranh giai cấp, chống chủ nghĩa tư bản và xóa bỏ chế độ phong kiến b)Đấu tranh giai cấp, giải phóng dân tộc c)Đấu tranh chống chủ nghĩa thực dân, giải phóng dân tộc d)Đấu tranh chống chủ nghĩa tư bản, xây dựng chủ nghĩa xã hội",,,,,,
Chương 2,67,"Chọn phương án sai, theo tư tưởng Hồ Chí Minh: Cách mạng giải phóng dân tộc theo thời đại mới phải do Đảng Cộng sản lãnh đạo để: a)Thực hiện mục tiêu xây dựng thành công chủ nghĩa xã hội b)Giác ngộ dân chúng c)Tổ chức, tập hợp dân chúng d)Đoàn kết với giai cấp vô sản và các dân tộc bị áp bức trên thế giới",,,,,,
Chương 2,67,Chủ tịch Hồ Chí Minh chỉ ra một động lực lớn của đất nước và con người sẽ không thể làm gì được cho người Việt Nam nếu không dựa trên động lực vĩ đại và duy nhất này. Động lực đó là? a)Chủ nghĩa dân tộc b)Chủ nghĩa dân túy c)Chủ nghĩa dân quyền d)Chủ nghĩa dân sinh,,,,,,
Chương 2,67,"Chọn phương án đúng theo tư tưởng Hồ Chí Minh: Lực lượng của cách mạng giải phóng dân tộc: a)Là quân đội nhân dân Việt Nam b)Liên minh giai cấp công nhân, giai cấp nông dân và tầng lớp tri thức c)Những người Việt Nam yêu nước và những người yêu chuộng hòa bình thế giới d)Toàn dân tộc với nòng cốt là liên minh công- nông",,,,,,
Chương 2,67,"Trong tư tưởng Hồ Chí Minh, nhiệm vụ hàng đầu, trên hết, trước hết của cách mạng Việt Nam là: a)Giải phóng dân tộc b)Giải phóng xã hội c)Giải phóng giai cấp d)Giải phóng con người",,,,,,
Chương 2,67,"Theo tư tưởng Hồ Chí Minh, hình thức của bạo lực cách mạng trong giai cấp cách mạng giải phóng dân tộc Việt Nam là: a)Đấu tranh vũ trang b)Đấu tranh chính trị c)Đấu tranh vũ trang tách biệt với đấu tranh chính trị d)Đấu tranh vũ trang kết hợp với đấu tranh chính trị",,,,,,
Chương 2,67,"Chọn cách diễn đạt đúng nhất quan điểm của Đảng Cộng sản Việt Nam về việc kiên trì con đường Hồ Chí Minh đã chọn: a)Giải phóng dân tộc, thống nhất đất nước b)Bảo vệ Tổ quốc, giữ vững nền độc lập dân tộc c)Độc lập dân tộc gắn liền với chủ nghĩa xã hội d)Xây dựng chủ nghĩa xã hội trên phạm vi toàn quốc.",,,,,,
Chương 2,68,"Khi bị chính quyền thực dân Anh bắt giam ở nhà tù Hồng Kông (1931), Nguyễn Ái Quốc đã mang bí danh gì? a)Nguyễn Ái Quốc b)Tống Văn Sơ c)Lý Thụy d)Hồ Quang",,,,,,
Chương 2,68,"Theo tư tưởng Hồ Chí Minh, mục tiêu của cách mạng giải phóng dân tộc là: a)Đánh đổ chế độ thực dân, phong kiến, xây dựng chế độ dân chủ nhân dân b)Đánh đổ chủ nghĩa thực dân, giải phóng giai cấp công nhân và những người lao động nghèo khổ c)Đánh đổ chủ nghĩa tư bản, giải phóng giai cấp công nhân d)Đánh đổ chủ nghĩa thực dân, giành độc lập dân tộc và thiết lập chính quyền của nhân dân",,,,,,
Chương 2,68,"Theo tư tưởng Hồ Chí Minh, đối tượng của cách mạng giải phóng dân tộc ở Việt Nam là: a)Địa chủ, phong kiến b)Chủ nghĩa tư bản c)Chủ nghĩa phát xít d)Chủ nghĩa thực dân và tay sai phản động",,,,,,
Chương 2,68,"Theo tư tưởng Hồ Chí Minh, cách mạng giải phóng dân tộc muốn thắng lợi phải đi theo con đường nào? a)Cách mạng của giai cấp công nhân b)Cách mạng tư sản c)Cách mạng vô sản d)Cách mạng xã hội chủ nghĩa",,,,,,
Chương 2,68,"Theo tư tưởng Hồ Chí Minh, cách mạng là sự nghiệp của? a)Chính phủ dân chủ b)Dân chúng bị áp bức c)Giai cấp tư sản d)Giới trí thức tiến bộ",,,,,,
Chương 2,68,"Theo tư tưởng Hồ Chí Minh, cách mạng giải phóng dân tộc trong thời đại mới phải do: a)Giai cấp tư sản lãnh đạo b)Vĩ nhân kiệt xuất lãnh đạo c)Tầng lớp trí thức lãnh đạo Đảng Cộng sản lãnh đạo . d)",,,,,,
Chương 2,68,"“Tất cả các dân tộc trên thế giới đều sinh ra bình đẳng, dân tộc nào cũng có quyền sống, quyền sung sướng và quyền tự do”. Câu trích này từ trong văn kiện nào sau đây? a)Tuyên ngôn Độc lập của Mỹ (1776). b)Tuyên ngôn Nhân quyền và Dân quyền của Cách mạng Pháp năm (1791). c)Tuyên ngôn Độc lập của Việt Nam (1945). d)Tuyên ngôn của Liên Hợp Quốc (1945).",,,,,,
Chương 2,69,"“Nước Việt Nam có quyền hưởng tự do và độc lập, và sự thật đã thành một nước tự do độc lập. Toàn thể dân tộc Việt Nam quyết đem tất cả tinh thần và lực lượng, tính mạng và của cải để giữ vững quyền tự do, độc lập ấy”. Câu trích này từ văn kiện nào sau đây của Hồ Chí Minh? a)Tuyên ngôn Độc lập của Việt Nam (1945). b)Lời kêu gọi toàn quốc kháng chiến chống Pháp (1946). c)Lời kêu gọi toàn quốc kháng chiến chống Mỹ (1966). d)Di chúc (1969).",,,,,,
Chương 3,69,"Chọn đáp án đúng nhất của Hồ Chí Minh: a)Cách mạng Pháp cũng như cách mạng Mỹ, nghĩa là cách mạng tư sản triệt để, tuy nhiên tiếng là cộng hòa và dân chủ, kỳ thực trong thì nó tước lục công nông, ngoài thì nó áp bức thuộc địa. b)Cách mạng Pháp cũng như cách mạng Mỹ, nghĩa là cách mạng tư sản, cách mạng không đến nơi, tiếng là cộng hòa và dân chủ, kỳ thực trong thì nó tước lục công nông, ngoài thì nó áp bức thuộc địa.",,,"Cách mạng Pháp cũng như cách mạng Mỹ, nghĩa là cách mạng vô sản, cách mạng đến nơi, là cộng hòa và dân chủ. d)Cả a, b và c đều sai.",,,
Chương 3,69,Chọn phương án sai: Đặc trưng bản chất tổng quát của chủ nghĩa xã hội ở Việt Nam là:,Chủ nghĩa xã hội là một xã hội có nền kinh tế phát triển cao gắn liền với sự phát triển của khoa học – kỹ thuật.,Chủ nghĩa xã hội là một chế độ chính trị do giai cấp công nhân làm chủ.,Chủ nghĩa xã hội là chế độ không còn người bóc lột người.,"Chủ nghĩa xã hội là một xã hội phát triển cao về văn hóa, đạo đức.",B,
Chương 3,69,"Theo tư tưởng Hồ Chí Minh, lực lượng xây dựng chủ nghĩa xã hội là:",Công nhân.,Nông dân.,Trí thức.,Nhân dân.,D,
Chương 3,69,"Theo tư tưởng Hồ Chí Minh, nền kinh tế xã hội chủ nghĩa là nền kinh tế:","Có công nghiệp, nông nghiệp hiện đại, có khoa học kỹ thuật tiên tiến.","Có công nghiệp hiện đại, nông nghiệp phát triển.","Có nông nghiệp hiện đại, công nghiệp và dịch vụ đa dạng.","Có khoa học, kỹ thuật tiên tiến và hội nhập với các nước xã hội chủ nghĩa.",A,
Chương 3,69,"Theo tư tưởng Hồ Chí Minh, muốn xây dựng chủ nghĩa xã hội trước hết cần có:","Con người có tinh thần sáng tạo, dám nghĩ, dám làm.",Con người xã hội chủ nghĩa.,"Con người có đức, có tài.","Con người vừa hồng, vừa chuyên.",B,
Chương 3,70,"Chọn phương án sai: Theo tư tưởng Hồ Chí Minh, hững trở lực kìm hãm sự phát triển của chủ nghĩa xã hội là:","Bệnh tham ô, lãng phí, quan liêu.",Chủ nghĩa cá nhân.,"Sự thiếu nhất quán trong đường lối, chính sách của Đảng.","Sự chia rẽ bè phái, mất đoàn kết.",C,
