Chương,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
Chương 6,Chọn phát biểu đúng của H ồ Chí Minh:,"Đạo đức là gốc, nền tảng, sức mạnh, tiêu chuẩn hàng đầ u","Đạo đức là gốc, cơ sở, sức mạnh, tiêu chuẩn hàng đầu","Đạo đức là gốc, nền tảng, sức mạnh, động lực hàng đầu","Đạo đức là gốc, nền tảng, cơ sở, tiêu chuẩn hàng đầu",
Chương 6,"“Cũng như sông thì có nguồn mới có nước, không có nguồn thì sông cạn. Cây phải có gốc, không có gốc thì cây héo. Người cách mạng phải có đạo đức, không có đạo đức thì dù tài giỏi mấy cũng không lãnh đạo được nhân dân. Vì muốn giải phóng dân tộc, giải phóng cho loài người là một công việc to tát mà tự mình không có đạo đức, không có căn bản, tự mình đã hủ hóa, xấu xa thì còn làm nổi việc gì?”. Đoạn trích trên được trích trong tác phẩm nào của Hồ Chí Minh:",Bản án chế độ thực dân Pháp,Tác phẩm “con rồng tre”,Sửa đổi lối làm việc,Tác phẩm “Nhật ký trong tù”,
Chương 6,"Theo Hồ Chí Minh, tiêu chuẩ n cho mục đích hành động là:",Đạo đức,Tài năng,Trí tuệ,Sức mạnh,
Chương 6,"Theo Hồ Chí Minh, phẩm chất đạo đức được xem là bao trùm, quan trọng nhất và chi phối các phẩm chấ t khác là:","Cần, kiệm, liêm, chính, chí công vô tư",Chuyên cần,"Trung với nước, hiếu với dân",Yêu thương con người,
Chương 6,"Theo Hồ Chí Minh, nội du ng cốt lõi của đạo đức cách mạng là:","Cần, kiệm, liêm, chính, chí công vô tư",Chuyên cần,"Trung với nước, hiếu với dân",Yêu thương con người,
Chương 6,"Theo Hồ Chí Minh, tinh thần Quốc tế trong sáng, chủ nghĩa Quốc tế có nguồn gốc từ:",Bản chất của giai cấp công nhân,Lý tưởng của những người cộng sản,Truyền thống văn hóa Việt Nam,Tinh hoa văn hóa nhân loại,
Chương 6,Nguyên tắc xây dựng đạo đức cách mạng theo tư tưởng Hồ Chí Minh là:,"Nói đi đôi với làm, noi gương về đạo đức; xây đi đôi với chống; tu dưỡng đạo đức suốt đời","Nói đi đôi với làm, noi gương về đạo đức; xây quan trọng hơn chống; tu dưỡng đạo đức suốt đời","Làm quan trọng hơn nói, noi gương về đạo đức; xây đi đôi với chống; tu dưỡng đạo đức suốt đời","Nói đi đôi với làm, noi gương về đạo đức; xây đi đôi với chống; tra u dồi tri thức suốt đời",
Chương 6,"Theo tư tưởng Hồ Chí Minh, “mỗi người tự rèn luyện, tu dưỡng ý thức, kết hợp với xây dựng cơ chế, tính khoa học của bộ máy và tạo dựng nền dân chủ” được hiểu là:",Ý nghĩa của việc xây dựng con người,Phương pháp xây dựng con người,Động lực xây dựng con người,Nội dung xây dựng con người.,
Chương 6,Chọn nội dung đúng nhất theo tư tưởng Hồ Chí Minh về “trồng người”:,Xây dựng con người,Giáo dục con người,"Trách nhiệm của Đảng, nhà nước, các đoàn thể chinh trị - xã hội kết hợp với tính tích cực, chủ động của từng người.",Tất cả đều sai,
Chương 6,"Theo Hồ Chí Minh, động lực của cách mạng l à:",Tinh thần yêu nước,Con người,Giai cấp công nhân,Giai cấp nông nhân,
Chương 6,"Chọn từ điền vào chỗ trống: Văn hóa chính trị là một trong những.......... soi đường cho quốc dân đi......quốc dân để thực hiện độc lập, tự cường, tự chủ.",Điều khiển,Lãnh đạo,Dẫn dắt,Thúc đẩy,
Chương 6,Yếu tố cốt lõi đầu tiên tạo nên nền tảng tư tưởng đạo đức Hồ Chí Minh là:,Tình yêu thương con người,Tình yêu quê hương,Tình cảm gia đình,Tinh thần hiếu để,
Chương MỞ ĐẦU,"Theo Hồ Chí Minh, nội du ng của tiếp thu văn hóa thế giới là:",Toàn diện,Chọn lọc,Đánh giá trước khi tiếp thu,Tất cả đều sai,
Chương MỞ ĐẦU,Khái niệm “Tư tưởng Hồ Chí Minh” lần đầu tiên được Đảng ta đưa ra tại Đại hội lần thứ mấy? a)Đại hội VI b)Đại hội VII c)Đại hội VIII d)Đại hội IX,,,,,
Chương MỞ ĐẦU,Luận điểm “trong thực tế tư tưởng Hồ Chí Minh đã trở thành một tài sản tinh thần quý báu của Đảng và của cả dân tộc” được trích từ Văn kiện Đại hội lần thứ mấy của Đảng? a)Đại hội VI b)Đại hội VII c)Đại hội VIII d)Đại hội IX,,,,,
Chương MỞ ĐẦU,Thời thiếu niên Chủ tịch Hồ Chí M inh có tên là: a)Nguyễn Tất Thành b)Nguyễn Sinh Cung c)Nguyễn Văn Ba d)Nguyễn Ái Quốc,,,,,
Chương MỞ ĐẦU,"“Tôi muốn đi ra ngoài, xem nước Pháp và các nước khác. Sau khi xem xét họ làm như thế nào, tôi sẽ trở về giúp đồng bào chúng ta”. Câu nói này được Nguyễn Tất Thành nói vào thời điểm nào? a)1905 b)1910 c)1911 d)1912",,,,,
Chương MỞ ĐẦU,Nguyễn Tất Thành ra đi tìm đường cứu nướ c vào ngày tháng năm nào? a)6/5/1910 b)5/6/1911 c)7/5/1917 d)7/5/1919,,,,,
Chương MỞ ĐẦU,"Học tập, vận dụng và phát triển tư tưởng Hồ Chí Minh cần nắm vững các nguyên tắc phương pháp luận nào? a)Quan điểm thực tiễn và nguyên tắc lý luận gắn liễn với thực ti ễn. b)Quan điểm toàn diện và hệ thống. c)Quan điểm kế thừa và phát triển. d)Tất cả các đáp án trên",,,,,
Chương MỞ ĐẦU,Chọn đáp án đúng nhất với khái niệm Tư tưở ng Hồ Chí Minh a)Tư tưởng Hồ Chí Minh là kết quả sự vận dụng sáng tạo và phát triển Chủ nghĩa Mác Lênin vào điều kiện cụ thể của nước ta. b)Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng sáng tạo Chủ nghĩa Mác – Lênin vào điều kiện thực tế của nước ta. c)Tư tưởng Hồ Chí Minh là kết quả sự phát triển sáng tạo Chủ nghĩa Mác Lênin vào điều kiện cụ thể của nước ta. d)Tư tưởng Hồ Chí Minh là kết quả sáng tạo của Hồ Chí Minh xuất phát từ thực tiễn cách mạng Việt Nam và thế giới.,,,,,
Chương MỞ ĐẦU,"Hãy lựa chọn câu dịch đúng nhất trong các phương án sau: Nghị quyết Đại hội đồng UNESCO lần thứ 24 vinh danh Hồ Chí M inh là: a)Anh hùng giải phóng dân tộc, nhà tư tưởng lớn của Việt Nam. b)Anh hùng giải phóng dân tộc, nhà cách mạng vĩ đại của Việt Nam. c)Anh hùng giải phóng dân tộc, nhà văn hóa kiệt xuất của Việt Nam. d)Anh hùng dân tộc vĩ đại, nhà văn hóa lớn của Việt Nam.",,,,,
Chương I,"Tên gọi “Nguyễn Ái Quốc” xuất hiện chính thức l ần đầu tiên trong sự kiện nào? a)Rời bến cảng Nhà Rồng ra đi tìm đường cứu nướ c, năm 1911. b)Gửi bản Yêu sách của nhân dân An Nam tới Hội nghị Versailles, năm 1919. c)Dự Đại hội IV Quốc tế Cộng sản, năm 1922. d)Hội nghị Hợp nhất các tổ chức cộng sản, thành lập Đảng, năm 1930.",,,,,
Chương I,Truyền thống quý báu nhất của dân tộc Việt Nam được Hồ Chí Minh kế thừa và phát triển là gì? a)Chủ nghĩa yêu nước b)Lòng nhân ái c)Tinh thần hiếu học d)Cần cù lao động,,,,,
Chương I,Tìm một điểm nhầm lẫn trong đoạn viết sau: Một trong những nguồn gốc của tư tưởng Hồ Chí Minh là tiếp thu văn hóa phương Đông. Cụ thể l à: a)Những mặt tích cực của Nho giáo b)Kế thừa tư tưởng pháp trị hà khắc của Pháp gia c)Tư tưởng vị tha của Phật giáo d)Kế thừa những tư tưởng tích cực trong chủ nghĩa Tam dân của Tôn Trung Sơn.,,,,,
Chương I,"Nguyên nhân quan trọng nhất dẫn đến sự thất bại của các phong trào yêu nước Việt Nam cuối thế kỷ XIX đầu thế kỷ XX là gì? a)Diễn ra rời rạc, tự phát b)Thiếu đường lối cứu nước đúng đắn c)Thua kém về vũ khí và sức mạnh quân sự d)Chưa phát huy được sức mạnh đoàn kết toàn dân",,,,,
Chương I,"Khi tham gia phong trào chống thuế ở Trung Kỳ, Nguyễn Tất T hành đang là: a)Học sinh b)Thầy giáo c)Công nhân d)Thợ ảnh",,,,,
Chương I,“ Đất nước đẹp vô cùng nhưng Bác phải ra đi/ Cho tôi làm sóng dưới chân tàu đưa tiễn Bác” là câu thơ của tác giả nào? a)Tố Hữu b)Chế Lan Viên c)Cù Huy Cận d)Trường Chinh,,,,,
Chương I,“ Mong manh áo vải hồn muôn trượng/ Hơn tượng đồng phơi những lối mòn” là câu thơ của tác giả nào? a)Tố Hữu b)Chế Lan Viên c)Cù Huy Cận d)Trường Chinh,,,,,
Chương I,Tư tưởng Hồ Chí Minh được hình thành từ n hững nguồn gốc nào? a)Giá trị tư tưởng- văn hóa truyền thống của dân tộc Việt Nam b)Tinh hoa văn hóa nhân loại c)Chủ nghĩa Mác – Lênin và những phẩm chất của Hồ Chí Minh d)Tất cả các phương án trên,,,,,
Chương I,Tư tưởng Hồ Chí Minh về con đường cách mạng Việt N am được hình thành cơ bản vào khoảng thời gian nào? a)Giai đoạn 1911-1920 b)Giai đoạn 1921-1930 c)Giai đoạn 1931-1945 d)Giai đoạn 1946- 1969,,,,,
Chương I,"Chọn phương án đúng trong các phương án sau: Hồ Chí Minh đã tiếp thu những yếu tố nào của Phậ t giáo? a)Tư tưởng về một thế giới đại đồng b)Tinh thần tự sám hối c)Tư tưởng lễ giáo, đề cao đạo đức d)Tư tưởng vị tha, từ bi, bác ái",,,,,
Chương I,"Chọn phương án trả lời đúng vớ i tư tưởng Hồ Chí Minh a)Từ năm 1890 đến năm 1911: Thời kỳ nghiên cứu, khảo sát thực tế, đến với chủ nghĩa Mác- Lênin b)Từ năm 1911 đến năm 1920: Thời kỳ hình thành tư tưởng yêu nước, chí hướ ng cứu nước c)Từ năm 1921 đến năm 1930: Thời kỳ hình thành cơ bản tư tưởng về con đường cách mạng Việt Nam d)Từ năm 1930 đến năm 1945: Thời kỳ tìm kiếm và xác định con đường cứu nước, giải phóng dân tộc",,,,,
Chương I,"Chọn cụm từ đúng điền vào dấu “...” Tháng 7-1920, Hồ Chí Mi nh đọc “...” của V.L. Lênin? a)Chính sách kinh tế mới (NEP) b)Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa c)Tác phẩm Làm gì d)Tác phẩm Bút ký triết học",,,,,
Chương I,"Sau hành trình tìm đường cứu nước, Hồ Chí Minh về nước trực tiếp lãnh đạo phong trào cách mạng vào thời gian? a)Tháng 5 - 1930 b)Tháng 1 - 1941 c)Tháng 9 - 1943 d)Tháng 8 – 1945",,,,,
Chương I,Địa danh đầu tiên của Tổ quốc mà Hồ Chí Minh đặt chân lên khi về nước tại cột mốc 108 trên bia giới Việt –Trung thuộc địa phận nào tỉn h Cao Bằng? a)Hà Quảng b)Hòa An c)Nguyên Bình d)Quản Bạ,,,,,
Chương I,Hồ Chí Minh đến với chủ nghĩa Mác – Lênin và trở thành người cộng sản đầu tiên của Việt Nam vào thời gian nào? a)Năm 1919 b)Năm 1920 c)Năm 1925 d)Năm 1930,,,,,
Chương I,"Nguyễn Ái Quốc lấy tên là Hồ Chí Minh vào thời gi an nào? a)Năm 1911, khi Người ra đi tìm đường cứu nước tại bến cảng Nhà R ồng b)Năm 1920, khi Người hoạt động tạo Pháp c)Năm 1941, khi Người về nước và hoạt động tại Pác Bó- Cao Bằng d)Năm 1942, khi Người có chuyến công tác sang Trung Quốc",,,,,
Chương I,"Trong những tiền đề lý luận hình thành tư tưởng Hồ Chí Minh, tiền đề nào quyết định bản chất khoa học và cách mạng của tư tưởng H ồ Chí Minh? a)Những giá trị truyền thống của dân tộc b)Những tinh hoa văn hóa của nhân loại c)Chủ nghĩa Mác – Lênin d)Cả ba tiền đề cùng có ý nghĩa quyết định",,,,,
Chương I,“ Luận cương Leenin theo Người về quê Việt/ Đất nước còn xa những hạnh phúc đã gần rồi”là câu thơ của tác giả nào? a)Tố Hữu b)Sóng Hồng c)Huy Cận d)Chế Lan Viên,,,,,
Chương I,"Theo sách “ Giáo trình Tư tưởng Hồ Chí Minh” (Nxb Ch ính trị quốc gia – Sự thật, Hà Nội, 2011), quá trình hình thành và phát triển tư tưởng Hồ Chí Minh được chia mấy thời kỳ? a)3 b)4 c)5 d)6",,,,,
Chương I,"Thời kỳ Hồ Chí Minh vượt qua thử thách, kiên trì giữ vững lập trường cách mạng diễn ra trong khoảng thời gian nào? a)Trước năm 1911 b)1911-1920 c)1921-1030 d)1930-1945",,,,,
Chương II,"Thời kỳ Hồ Chí Minh tìm thấy con đường cứu nước, giải phóng dân tộc diễn ra trong khoảng thời gian nào? a)1911-1920 b)1921-1930 c)1930- 1945 d)1945-1969",,,,,
Chương II,Chọn phương án trả lời đúng nhất với tư tưởng H ồ Chí Minh a)Cách mạng giải phóng dân tộc ở thuộc địa có khả năng giành thắng lợi trước cách mạng vô sản ở chính quốc b)Cách mạng giải phóng dân tộc giành thắng lợi đồng thời với thắng lợi của cách mạng vô sản ở chính quốc c)Thắng lợi của cách mạng vô sản ở thuộc địa phải phụ thuộc vào thắng lợi của cách mạng vô sản ở chính quốc d)Cách mạng giải phóng dân tộc ở thuộc địa cần trông chờ vào sự giúp đỡ của cách mạng vô sản ở chính quốc,,,,,
Chương II,Hãy chọn cụm từ đúng điền vào chỗ trống trong câu nói sau của Hồ Chí Minh “ Giờ quyết định cho vận mệnh dân tộc ta đã đến. Toàn quốc đồng bào hãy đứng d ậy...giải phóng cho ta” a)Đoàn kết toàn dân mà tự b)Đem sức ta mà tự c)Dựa vào sự giúp đỡ của quốc tế mà d)Dựa vào sự lãnh đạo của Đảng mà,,,,,
